"ID","Study.ID","Reference","Grouping","Victim","Perpetrator","Route.Victim","Route.Perpetrator","Mechanism","Compartment","AUCR.Avg","AUCR.AvgType","AUCR.Var","AUCR.VarType","CmaxR.Avg","CmaxR.AvgType","CmaxR.Var","CmaxR.VarType","t_placebo_0","t_placebo_end","t_treatment_0","t_treatment_end","t.Unit","R.Dose.correction.factor","Comment","Dose","Dose.free.API","Dose.Unit","Route","Times.of.Administration","Times.Unit","Description","Comment.Regimen","Administered.form","Formulation.type","Infusion.duration.[min]","Water.volume.ingested.for.drug.intake.[mL]","Comment.on.administration/formulation","Fasted/Fed.state","Duration.of.fasting.before.drug.administration.[h]","Duration.of.fasting.after.drug.administration.[h]","Comment.on.food.intake"
828,"Carls 2014","https://www.ncbi.nlm.nih.gov/pubmed/25139487","Midazolam + 250 mg erythromycin ","Midazolam","Erythromycin","PO","PO","Mechanism_based_Inactivation","Plasma",1.71781305114638,"Approx. Avg",NA,NA,NA,NA,NA,NA,"2","4","3","5","h",NA,NA,"250",NA,"mg","PO","0","h","SD","SD",NA,"Erythromycin-ratiopharm® 500 mg filmtablets containing 694 mg erythromycinstearate",NA,NA,NA,NA,NA,NA,NA
829,"Carls 2014","https://www.ncbi.nlm.nih.gov/pubmed/25139487","Midazolam + 1000 mg erythromycin ","Midazolam","Erythromycin","PO","PO","Mechanism_based_Inactivation","Plasma",4.99118165784832,"Approx. Avg",NA,NA,NA,NA,NA,NA,"2","4","3","5","h",NA,NA,"1000",NA,"mg","PO","0","h","SD","SD",NA,"Erythromycin-ratiopharm® 500 mg filmtablets containing 694 mg erythromycinstearate",NA,NA,NA,NA,NA,NA,NA
1001,"Schmider 1999","https://www.ncbi.nlm.nih.gov/pubmed/10634135","Alprazolam + Rifampin","Alprazolam","Rifampicin","PO","PO","Induction","Plasma",0.117258464079273,"Approx. Avg",NA,NA,0.638157894736842,"Approx. CmaxR",NA,NA,"0","inf","96","inf","h",1,"Administration time of alprazolam relative to rifampin administration was not reported, here, it was assumed that alprazolam was administered 24h after the last rifampin administration","450",NA,"mg",NA,"S0-T24-R4","h","MD OD (4 days)","MD QD",NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,"Schmider 1999","https://www.ncbi.nlm.nih.gov/pubmed/10634135","Alprazolam + Ketoconazole","Alprazolam","Ketoconazole","PO","PO","Reversible_Inhibition","Plasma",1.75970272502064,"Approx. Avg",NA,NA,1.07894736842105,"Approx. CmaxR",NA,NA,"0","inf","48","inf","h",NA,"Administration time of alprazolam relative to ketoconazole administration was not reported, here, it was assumed that alprazolam was administered 12h after the last ketoconazole administration","200",NA,"mg",NA,"S0-T12-R4","h","MD BID (2 days)","MD BID",NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,"Villikka 1997","https://www.ncbi.nlm.nih.gov/pubmed/9024169","Treatment arm (pretreatment with rifampin, 600 mg, 5 days)","Triazolam","Rifampicin","PO","PO","Induction","Plasma",0.051,"Arith. Mean","0.032-0.071","95%CI",0.124137931034483,"Approx. CmaxR",NA,NA,"0","inf","113","inf","h",1,"AUC ratio from Tab. 1","600",NA,"mg","PO","S0-T24-R5","h","MD OD (5 days)","MD, QD (at 8 pm)",NA,"two 300 mg Rimapen capsules, Orion Pharmaceutical Company Ltd., Espoo, Finland",NA,NA,NA,NA,NA,NA,NA
1026,"Yasui 1998","https://www.ncbi.nlm.nih.gov/pubmed/9784084","Alprazolam with itraconazole","Alprazolam","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",2.66269841269841,"Approx. Avg",NA,NA,1.28682170542636,"Approx. CmaxR",NA,NA,"0","inf","73","inf","h",NA,NA,"200",NA,"mg","PO","(S0-T24-R6)","h","MD OD (6 days)","MD, QD (at 8 am)",NA,"capsule formulation (Itrizole, Janssen-Kyowa Co. Ltd, Tokyo, Japan)",NA,NA,NA,NA,NA,NA,NA
1028,"Varhe 1994","https://www.ncbi.nlm.nih.gov/pubmed/7995001","Triazolam with ketoconazole","Triazolam","Ketoconazole","PO","PO","Reversible_Inhibition","Plasma",20.0638618873603,"Geom. Mean","5.00-71.1","Range",3.10748712639809,"Geom. Mean","1.46-5.1","Range","0","inf","73","inf","h",NA,"AUC and Cmax ratios calculated based on individual data listed in Tab. 2","400",NA,"mg",NA,"S0-T24-R4","h","MD OD (4 days)","MD, QD",NA,"Nizoral, Orion, Helsinki, Finland",NA,NA,NA,NA,NA,NA,"The use of alcohol, coffee, tea, and cola was not allowed during the testdays"
1029,"Varhe 1994","https://www.ncbi.nlm.nih.gov/pubmed/7995001","Triazolam with Itraconazole","Triazolam","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",19.0287455476447,"Geom. Mean","7.24-181","Range",2.68544783283575,"Geom. Mean","1.17-10.4","Range","0","inf","73","inf","h",NA,"AUC and Cmax ratios calculated based on individual data listed in Tab. 2","200",NA,"mg",NA,"S0-T24-R4","h","MD OD (4 days)","MD, QD",NA,"Sporanox, Orion",NA,NA,NA,NA,NA,NA,"The use of alcohol, coffee, tea, and cola was not allowed during the testdays"
1078,"Neuvonen 1996","https://www.ncbi.nlm.nih.gov/pubmed/8841155","Treatment phase (triazolam + ITZ simultaneously)","Triazolam","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",3.11,"Arith. mean",NA,NA,1.41,"arith. Mean",NA,NA,"0","inf","0","inf","h",NA,"AUC and Cmax ratio taken from percentage change listed in Tab. 1","200",NA,"mg","PO","0","h","SD","SD",NA,"Sporanox, Janssen Pharma, Beerse, Belgium",NA,150,NA,"fasted","3","4","itraconazole dose was taken 3 h after lunch, the use of alcohol, tea, coffee, and cola was not allowed during the test days"
1079,"Neuvonen 1996","https://www.ncbi.nlm.nih.gov/pubmed/8841155","Treatment phase (triazolam + ITZ 3 hr before)","Triazolam","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",4.79,"Arith. mean",NA,NA,1.76,"arith. Mean",NA,NA,"0","inf","3","inf","h",NA,"AUC and Cmax ratio taken from percentage change listed in Tab. 1","200",NA,"mg","PO","0","h","SD","SD",NA,"Sporanox, Janssen Pharma, Beerse, Belgium",NA,150,NA,"Triazola, fasted, ITZ fed","3",NA,"itraconazole dose was taken after lunch, the use of alcohol, tea, coffee, and cola was not allowed during the test days"
1080,"Neuvonen 1996","https://www.ncbi.nlm.nih.gov/pubmed/8841155","Treatment phase (triazolam + ITZ 12 hr before)","Triazolam","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",4.63,"Arith. mean",NA,NA,1.76,"arith. Mean",NA,NA,"0","inf","12","inf","h",NA,"AUC and Cmax ratio taken from percentage change listed in Tab. 1","200",NA,"mg","PO","0","h","SD","SD",NA,"Sporanox, Janssen Pharma, Beerse, Belgium",NA,150,NA,"Triazola, fasted, ITZ fed","3",NA,"itraconazole dose was taken with a snack, the use of alcohol, tea, coffee, and cola was not allowed during the test days"
1081,"Neuvonen 1996","https://www.ncbi.nlm.nih.gov/pubmed/8841155","Treatment phase (triazolam + ITZ 24 hr before)","Triazolam","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",3.82,"Arith. mean",NA,NA,1.71,"arith. Mean",NA,NA,"0","inf","24","inf","h",NA,"AUC and Cmax ratio taken from percentage change listed in Tab. 1","200",NA,"mg","PO","0","h","SD","SD",NA,"Sporanox, Janssen Pharma, Beerse, Belgium",NA,150,NA,"Triazola, fasted, ITZ fed","3",NA,"i"
1087,"Lam 2003","https://www.ncbi.nlm.nih.gov/pubmed/14551182","Midazolam after Ketoconazole","Midazolam","Ketoconazole","PO","PO","Reversible_Inhibition","Plasma",8.72,"mean percent change","5.96","SD",3.68,"mean percent change","2.2200000000000002","SD","0","inf","265","inf","h",NA,NA,"200",NA,"mg",NA,"(S0-T24-R12)","h","MD OD (12 days)","MD, once daily","ketoconazole",NA,NA,NA,NA,NA,NA,NA,NA
1089,"Lam 2003","https://www.ncbi.nlm.nih.gov/pubmed/14551182","Midazolam after Fluvoxamine","Midazolam","Fluvoxamine","PO","PO","Reversible_Inhibition","Plasma",1.66,"mean percent change","0.8","SD",1.63,"mean percent change","1.07","SD","0","inf","265","inf","h",NA,NA,"50/100",NA,"mg",NA,"(S0-T12-R23)","h","MD OD (12 days), titrated from 50 mg BID to 100 mg BID administered for 6 days","MD, twice daily, titrated from 50 mg bid to 100 mg bid 100 mg bid administered for 6 days","fluvoxamine",NA,NA,NA,NA,NA,NA,NA,NA
1091,"Shin 2013","https://www.ncbi.nlm.nih.gov/pubmed/23784264","CYP3A4 inhibited phase (Midazolam + ketoconazole)","Midazolam","Ketoconazole","IV","PO","Reversible_Inhibition","Plasma",2.89,"geom. Mean (GMR)","2.57 - 3.25","90% CI",NA,NA,NA,NA,"0","inf","73","inf","h",1,"also available: Ratio of geom. Mean (90% CI) of CL in L/h: 0.35 (0.32 - 0.37)","400",NA,"mg","PO","(S0-T24-R4)","h","MD OD (4 days)","MD, q.d. for 4 days","ketoconazole (400-mg tablet)","Spike, Choong Wae Pharm, Seoul, Korea",NA,NA,NA,NA,NA,NA,NA
393,"Reitman 2011","https://www.ncbi.nlm.nih.gov/pubmed/21191377","Week 1 after Perpetrator (Rifampicin)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.383,"arith. mean",NA,NA,0.403,"arith. mean",NA,NA,"1320","inf","816","984","h",1,"Week 4 as Control","600",NA,"mg","PO","S0-T24-R28","h","MD OD (28 days)",NA,NA,"Rifadin (2x 300mg)",NA,NA,"Rifadin 2x 300 mg (Merrel)","Fasted",NA,NA,NA
1094,"Shin 2016","https://www.ncbi.nlm.nih.gov/pubmed/27317471","Midazolam + ketoconazole","Midazolam","Ketoconazole","IV","PO","Reversible_Inhibition","Plasma",4.77,"geom. Mean (GMR)","4.52 - 5.03","90% CI",1.45,"geom. Mean (GMR)","1.38 - 1.53","90% CI","0","inf","73","inf","h",1,NA,"400",NA,"mg",NA,"(S0-T24-R4)","h","MD OD (4 days)","MD, q.d. for 4 days","ketoconazole","Spike, Choongwae Pharma Co., Seoul, Korea",NA,NA,NA,NA,NA,NA,NA
394,"Reitman 2011","https://www.ncbi.nlm.nih.gov/pubmed/21191377","Week 2 after Perpetrator (Rifampicin)","Midazolam","Rifampicin","PO","PO","Induction","Plasma",0.815,"arith. mean",NA,NA,0.731,"arith. mean",NA,NA,"1320","inf","984","1320","h",1,"Week 4 as Control","600",NA,"mg","PO","S0-T24-R28","h","MD OD (28 days)",NA,NA,"Rifadin (2x 300mg)",NA,NA,"Rifadin 2x 300 mg (Merrel)","Fasted",NA,NA,NA
1097,"Prueksaritanont 2017","https://www.ncbi.nlm.nih.gov/pubmed/27943276","Midazolam in microdosecocktail + Itraconazole","Midazolam","Itraconazole","PO","PO","Reversible_Inhibition","Plasma",7.04,"Geom. mean","4.58 - 10.81","90% CI",3.71,"Geom. mean","3.38 - 4.09","90% CI","0","inf","72","inf","h",NA,"Also available: ratio for AUC(0-last): geom. Mean (GMR) (90% CI) in pg*h/ml: 6.80 (4.52 - 10.23)","200",NA,"mg","PO","(S0-T24-R5)","h","MD OD (5 days)","MD, q.d. for 5 days","itraconazole","10 mg/mL oral solution",NA,NA,NA,NA,NA,NA,NA
1092,"Shin 2013","https://www.ncbi.nlm.nih.gov/pubmed/23784264","CYP3A4 induced phase (Midazolam + rifampicin)","Midazolam","Rifampicin","IV","PO","Induction","Plasma",1.15,"geom. Mean (GMR)","1.025 - 1.275","90% CI",NA,NA,NA,NA,"0","inf","216","inf","h",2.5,"Cave! Cave! Different dose treatment vs control. Ratios calculated as reported Ratio*Dose(under Rif coadmin)/Dose(control). Also avaiable: Ratio of geom. Mean (90% CI) of CL in L/h: 2.19 (1.99 - 2.40)","600",NA,"mg","PO","S0-T24-R10","h","MD OD (10 days)","MD, q.d. for 10 days","rifampicin (600-mg tablet)","Rifodex, Chong Kun Dang Pharmaceutical, Seoul, Korea",NA,NA,NA,NA,NA,NA,NA
1099,"Prueksaritanont 2017","https://www.ncbi.nlm.nih.gov/pubmed/27943276","Midazolam in microdosecocktail + Clarithromycin","Midazolam","Clarithromycin","PO","PO","Mechanism_based_Inactivation","Plasma",4.84,"Geom. mean","3.21 - 7.29","90% CI",2.69,"Geom. mean","2.47 - 2.93 ","90% CI","0","inf","72","inf","h",NA,"Also available: ratio for AUC(0-last): geom. Mean (GMR) (90% CI) in pg*h/ml: 4.71 (3.20 - 6.96)","500",NA,"mg","PO","(S0-T12-R10)","h","MD BID (5 days)","MD, b.i.d. (approx. every 12 h) for 5 days","clarithromycin","USP 500 mg tablets",NA,NA,NA,NA,NA,NA,NA
1102,"Greenblatt 1998a","https://www.ncbi.nlm.nih.gov/pubmed/9757151","Triazolam + Clarithromycin (Trial E)","Triazolam","Clarithromycin","PO","PO","Mechanism_based_Inactivation","Plasma",5.06,"arithm. Mean","0.44","Arith. SEM",1.968,"Approx. Avg",NA,NA,"0","inf","25","inf","h",NA,NA,"500",NA,"mg","PO","0-8-24-33","h","MD OD (2 days)","MD, day1: 8 am., 4 pm., day2: 8 am., 5 pm.",NA,"capsules",NA,NA,"double blind design, medication were packaged identically in opaque capsules","fed",NA,"4","Light breakfast"
1104,"Fleishaker 1994","https://www.ncbi.nlm.nih.gov/pubmed/8005185","Alprazolam + fluvoxamine","Alprazolam","Fluvoxamine","PO","PO","Reversible_Inhibition","Plasma",1.25514403292181,"Approx. Avg",NA,NA,1.17692307692308,"Approx. CmaxR",NA,NA,"0","5","144","149","h",NA,"Measurement documented with day 1,  actually is day 7 of study period","50/100",NA,"mg","PO","S0-T24-R7","h","MD OD (10 days), 50 mg day 1-3, then 100 mg","MD, 50 mg qd days 1-3, 100 mg qd days 4 -7","fluvoxamine maleate","oral capsules",NA,NA,"for days 4-7: subjects took two 50 mg fluvoxamine maleate capsules","fed",NA,NA,"The subjects ate standard meals at 07.00, 12.00, 18.00, and 22.00 h on all study days."
1106,"Fleishaker 1994","https://www.ncbi.nlm.nih.gov/pubmed/8005185","Fluvoxamine + alprazolam","Fluvoxamine","Alprazolam","PO","PO",NA,"Plasma",0.920731707317073,"Approx. Avg",NA,NA,0.962790697674419,"Approx. CmaxR",NA,NA,"0","inf","0","inf","h",NA,"Measurement on day 1","1",NA,"mg","PO","144-149-154-159-168-173-178-183-192-197-202-207-216-221-226-231","h","MD QID (4 days)","MD, 4 times daily for 4 days (days 7-10 of the study period)","alprazolam","oral tablet",NA,NA,NA,"fed",NA,NA,"The subjects ate standard meals at 07.00, 12.00, 18.00, and 22.00 h on all study days."
1108,"Backman 1994","https://www.ncbi.nlm.nih.gov/pubmed/8198928","Midazolam with verapamil","Midazolam","Verapamil","PO","PO","Mechanism_based_Inactivation","Plasma",2.91666666666667,"Arith. mean",NA,NA,1.96923076923077,"Arith. mean",NA,NA,"0","inf","25","inf","h",NA,NA,"80",NA,"mg","PO","S0-T8-R5","h","MD TID (2 days)","MD, day1: 14:30, 22:30, day2: 6:30, 14:30, 22:30","verpamil","Verpamil 40 mg tabl., Orion Pharmaceutical Company Ltd",NA,NA,NA,NA,NA,NA,NA
1111,"Wang 2005","https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1016/j.clpt.2004.11.014","Midazolam after VER treatment","Midazolam","Verapamil","IV","PO","Mechanism_based_Inactivation","Plasma",1.45238095238095,"Arith. mean",NA,NA,NA,NA,NA,NA,"0","24","168","192","h",NA,"AUCR was calculated with CLiv values","240",NA,"mg",NA,"S0-T24-R7","h","MD OD (7 days)","MD","verapamil","verapamil (SR, 240 mg qd.)",NA,NA,NA,NA,NA,NA,NA
1113,"Fleishaker 1994","https://www.ncbi.nlm.nih.gov/pubmed/8005185","Alprazolam + fluvoxamine (day 10)","Alprazolam","Fluvoxamine","PO","PO","Reversible_Inhibition","Plasma",1.96313799621928,"Approx. Avg",NA,NA,1.86194046594315,"Approx. CmaxR",NA,NA,"72","96","216","240","h",NA,"AUCratio and Cmax ratio also available for Day1","50/100",NA,"mg","PO","S0-T24-R10","h","MD OD (10 days), 50 mg day 1-3, then 100 mg","MD, QD","fluvoxamin maleate",NA,NA,NA,NA,"fed",NA,NA,"The subjects ate standard meals at 07.00, 12.00, 18.00, and 22.00 h on all study days."
1114,"Fleishaker 1994","https://www.ncbi.nlm.nih.gov/pubmed/8005185","Fluvoxamine + alprazolam (day 10)","Fluvoxamine","Alprazolam","PO","PO",NA,"Plasma",0.761066969353008,"Approx. Avg",NA,NA,0.787512588116818,"Approx. CmaxR",NA,NA,"0","216","0","216","h",NA,"Measurement on day 10","1",NA,"mg","PO","144-149-154-159-168-173-178-183-192-197-202-207-216-221-226-231","h","MD QID (4 days)","MD, 4 times daily for 4 days (days 7-10 of the study period)","alprazolam","oral tablet",NA,NA,NA,"fed",NA,NA,"The subjects ate standard meals at 07.00, 12.00, 18.00, and 22.00 h on all study days."
1116,"Wang 2005","https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1016/j.clpt.2004.11.014","Midazolam after VER treatment","Midazolam","Verapamil","PO","PO","Mechanism_based_Inactivation","Plasma",3.50561797752809,"Arith. mean",NA,NA,NA,NA,NA,NA,"24","inf","192","inf","h",NA,"AUCR was calculated with CLpo values","240",NA,"mg",NA,"S0-T24-R7","h","MD OD (7 days)","MD","verapamil","verapamil (SR, 240 mg qd.)",NA,NA,NA,NA,NA,NA,NA
1095,"Shin 2016","https://www.ncbi.nlm.nih.gov/pubmed/27317471","Midazolam + rifampicin","Midazolam","Rifampicin","IV","PO","Induction","Plasma",1.225,"geom. Mean (GMR)","1.15 - 1.325","90% CI",1.775,"geom. Mean (GMR)","1.7 - 1.9","90% CI","0","inf","216","inf","h",2.5,"Cave! Different dose treatment vs control. Ratios calculated as reported Ratio*Dose(under Rif coadmin)/Dose(control).","600",NA,"mg","PO","S0-T24-R10","h","MD OD (10 days)","MD, q.d. for 10 days","rifampicin","Rifodex, Chong Kun Dang Pharmaceutical, Seoul, Korea",NA,NA,NA,NA,NA,NA,NA
422,"Szalat 2007","https://www.ncbi.nlm.nih.gov/pubmed/17553741","with Perpetrator (Rifampicin)","Midazolam","Rifampicin","IV","PO","Induction","Plasma",0.579467113843861,"Approx. Avg",NA,NA,NA,NA,NA,NA,"0","inf","132","inf","h",1,NA,"600",NA,"mg","PO","0-24-48-72-96-120-144","h","MD OD (7 days)","MD","rifampicin","rifampicin (Sandoz GmbH)",NA,NA,NA,NA,NA,NA,NA
2004,"van Dyk 2018","https://www.ncbi.nlm.nih.gov/pubmed/29572563","Midazolam in Caucasian following 3d of Clarithromycin (between day 12 and 14)","Midazolam","Clarithromycin","PO","PO","Mechanism_based_Inactivation","Plasma",1.9,"geom. Mean","1.5, 2.3","95% CI",1.75,"Approx. CmaxR",NA,NA,"0","6","324","330","h",NA,"Adjusted AUCratios (adjustment of different genotypes) are also available: AUC0-6 GMR with (95% CI)in µg/L/min: 2.0 (1.5, 2.4); Time adjusted to Time after first rifampicin dose","250",NA,"mg",NA,"S252-T12-R6","h","MD BID (3 days)","MD, bd for a 3-day course","clarithromycin","Klacid Abbott Laboratories, NSW, Australia",NA,NA,NA,NA,NA,NA,NA
2005,"van Dyk 2018","https://www.ncbi.nlm.nih.gov/pubmed/29572563","Midazolam in South Asian following 3d of Clarithromycin (between day 12 and 14)","Midazolam","Clarithromycin","PO","PO","Mechanism_based_Inactivation","Plasma",1.5,"geom. Mean","0.8, 2.2","95% CI",1.50909090909091,"Approx. CmaxR",NA,NA,"0","6","324","330","h",NA,"Adjusted AUCratios (adjustment of different genotypes) are also available: AUC0-6 GMR with (95% CI)in µg/L/min: 1.7 (1.0, 2.5); Time adjusted to Time after first rifampicin dose","250",NA,"mg",NA,"S252-T12-R6","h","MD BID (3 days)","MD, bd for a 3-day course","clarithromycin","Klacid Abbott Laboratories, NSW, Australia",NA,NA,NA,NA,NA,NA,NA
2007,"Kashuba 1998","https://www.ncbi.nlm.nih.gov/pubmed/9757149","Midazolam after Fluvoxamine","Midazolam","Fluvoxamine","IV","PO","Reversible_Inhibition","Plasma",1.5,"Approx. Avg",NA,NA,NA,NA,NA,NA,"0","inf","517","inf","h",NA,"AUCR was calculated with CLiv values, 517 h is the mean of the two assessments (2 weeks / 4 weeks)","50/100",NA,"mg","PO","0-24-48-58-72-82-96-106-120-130-144-154-168-178-192-202-216-226-240-250-264-274-288-298-312-322-336-346-360-370-384-394-408-418-432-442-456-466-480-490-504-514-528-538-552-562-576-586-600-610-624-634-648","h","MD BID (4 weeks), dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, then 50 mg in the morning and 100 mg in the evening","MD, twice a day for 4 weeks, dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, 50 mg in the morning and 100 mg in the evening for the remainder of the study.","fluvoxamine","50 mg fluvoxamine capsules (Luvox, lot number 87145, Solvay, Marietta, Ga.)",NA,NA,NA,NA,NA,NA,NA
2009,"Gashaw 2003","https://www.ncbi.nlm.nih.gov/pubmed/?term=14586385","Alprazolam 10h concentration after Rifampin treatment (5 day rifampin treatment, day 7)","Alprazolam","Rifampicin","PO","PO","Induction","Plasma",0.1793478,"Approx. Avg",NA,NA,NA,NA,NA,NA,"0","inf","100","436","h",1,"AUCR was calculated with estimated CLoral values estimated from 1 plasma sample","450",NA,"mg","PO","0-14-38-62-86","h","MD OD (5 days)","MD, q.d. for 5 days",NA,"Eremfat Fatol, Schiffweiler, Germany",NA,NA,NA,NA,NA,NA,NA
2010,"Gashaw 2003","https://www.ncbi.nlm.nih.gov/pubmed/?term=14586385","Alprazolam 10h concentration after wash out (day 22)","Alprazolam","Rifampicin","PO","PO","Induction","Plasma",0.9166667,"Approx. Avg",NA,NA,NA,NA,NA,NA,"0","inf","436","inf","h",1,"AUCR was calculated with estimated CLoral values estimated from 1 plasma sample","450",NA,"mg","PO","0-14-38-62-86","h","MD OD (5 days)","MD, q.d. for 5 days",NA,"Eremfat Fatol, Schiffweiler, Germany",NA,NA,NA,NA,NA,NA,NA
2012,"Chen 2006","https://www.ncbi.nlm.nih.gov/pubmed/16842393","Midazolam post treatment with fluvoxamine (28 days of fluvoxamine) overall","Midazolam","Fluvoxamine","IV","PO","Reversible_Inhibition","Plasma",1.49056603773585,"Arith. mean",NA,NA,NA,NA,NA,NA,"0","inf","336","inf","h",NA,"AUCR was calculated with CLiv values","50/100",NA,"mg","PO","0-24-48-58-72-82-96-106-120-130-144-154-168-178-192-202-216-226-240-250-264-274-288-298-312-322-336-346-360-370-384-394-408-418-432-442-456-466-480-490-504-514-528-538-552-562-576-586-600-610-624-634-648","h","MD BID (4 weeks), dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, then 50 mg in the morning and 100 mg in the evening","MD, twice a day for 4 weeks, dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, 50 mg in the morning and 100 mg in the evening for the remainder of the study.","fluvoxamine","50 mg fluvoxamine capsules (Luvox, lot number 87145, Solvay, Marietta, Ga.)",NA,NA,NA,NA,NA,NA,NA
2014,"Chen 2006","https://www.ncbi.nlm.nih.gov/pubmed/16842393","Midazolam post treatment with fluvoxamine (28 days of fluvoxamine) Male","Midazolam","Fluvoxamine","IV","PO","Reversible_Inhibition","Plasma",1.61702127659574,"Arith. mean",NA,NA,NA,NA,NA,NA,"0","inf","336","inf","h",NA,"AUCR was calculated with CLiv values","50/100",NA,"mg","PO","0-24-48-58-72-82-96-106-120-130-144-154-168-178-192-202-216-226-240-250-264-274-288-298-312-322-336-346-360-370-384-394-408-418-432-442-456-466-480-490-504-514-528-538-552-562-576-586-600-610-624-634-648","h","MD BID (4 weeks), dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, then 50 mg in the morning and 100 mg in the evening","MD, twice a day for 4 weeks, dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, 50 mg in the morning and 100 mg in the evening for the remainder of the study.","fluvoxamine","50 mg fluvoxamine capsules (Luvox, lot number 87145, Solvay, Marietta, Ga.)",NA,NA,NA,NA,NA,NA,NA
2016,"Chen 2006","https://www.ncbi.nlm.nih.gov/pubmed/16842393","Midazolam post treatment with fluvoxamine (28 days of fluvoxamine) female","Midazolam","Fluvoxamine","IV","PO","Reversible_Inhibition","Plasma",1.3728813559322,"Arith. mean",NA,NA,NA,NA,NA,NA,"0","inf","336","inf","h",NA,"AUCR was calculated with CLiv values","50/100",NA,"mg","PO","0-24-48-58-72-82-96-106-120-130-144-154-168-178-192-202-216-226-240-250-264-274-288-298-312-322-336-346-360-370-384-394-408-418-432-442-456-466-480-490-504-514-528-538-552-562-576-586-600-610-624-634-648","h","MD BID (4 weeks), dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, then 50 mg in the morning and 100 mg in the evening","MD, twice a day for 4 weeks, dose titration to 150 mg/day over 7 days: 50 mg in the evening for 3 days, 50 mg in the morning and evening for the next 3 days, 50 mg in the morning and 100 mg in the evening for the remainder of the study.","fluvoxamine","50 mg fluvoxamine capsules (Luvox, lot number 87145, Solvay, Marietta, Ga.)",NA,NA,NA,NA,NA,NA,NA
2018,"Suzuki 2003","https://www.ncbi.nlm.nih.gov/pubmed/12698310","Alprazolam with fluvoxamine (Japanese)","Alprazolam","Fluvoxamine","PO","PO","Reversible_Inhibition","Plasma",NA,NA,NA,NA,NA,NA,NA,NA,"316 (N=13) / 324 (N=10)","inf","316 (N=13) / 324 (N=10)","inf","h",NA,NA,"25 (N=19) / 50 (N=2) / 100 (N=2)",NA,"mg","PO","S0-T24-R14","h","MD OD (14 days)","MD, The doses of FLV were 25 mg in 19 subjects, 50 mg in 2, and 100 mg in 2. FLV taken at 21:00 by all subjects.","fluvoxamine","oral formulation",NA,NA,NA,NA,NA,NA,NA
2025,"Quinney 2008","https://www.ncbi.nlm.nih.gov/pubmed/17635500","iv Midazolam Female after clarithromycin","Midazolam","Clarithromycin","IV","PO","Mechanism_based_Inactivation","Whole Blood",3.6,"GMR","2.8, 4.4","95% CI",1.20689655172414,"Approx. CmaxR",NA,NA,"0","inf","146","inf","h",NA,NA,"500",NA,"mg","PO","S0-T12-R14","h","MD BID (7 days)","MD, bid for 7 days","clarithromycin",NA,NA,NA,NA,NA,NA,NA,NA
2026,"Quinney 2008","https://www.ncbi.nlm.nih.gov/pubmed/17635500","iv Midazolam Male after clarithromycin","Midazolam","Clarithromycin","IV","PO","Mechanism_based_Inactivation","Whole Blood",2.9,"GMR","2.0, 3.7","95% CI",1.11864406779661,"Approx. CmaxR",NA,NA,"0","inf","146","inf","h",NA,NA,"500",NA,"mg","PO","S0-T12-R14","h","MD BID (7 days)","MD, bid for 7 days","clarithromycin",NA,NA,NA,NA,NA,NA,NA,NA
2027,"Quinney 2008","https://www.ncbi.nlm.nih.gov/pubmed/17635500","iv Midazolam All after clarithromycin","Midazolam","Clarithromycin","IV","PO","Mechanism_based_Inactivation","Whole Blood",3.2,"GMR","2.7, 3.8","95% CI",1.17241379310345,"Approx. CmaxR",NA,NA,"0","inf","146","inf","h",NA,NA,"500",NA,"mg","PO","S0-T12-R14","h","MD BID (7 days)","MD, bid for 7 days","clarithromycin",NA,NA,NA,NA,NA,NA,NA,NA
